Date,Timestamp,Open,High,Low,Close,Volume
20260521,00:45:00,4543.445,4543.995,4541.735,4542.855,0.0197699995042058
20260521,00:46:00,4542.825,4544.075,4542.545,4544.015,0.018689999516937
20260521,00:47:00,4543.975,4544.725,4542.475,4542.745,0.0164399995846907
20260521,00:48:00,4543.025,4543.025,4541.985,4542.865,0.0141299996466842
20260521,00:49:00,4542.905,4544.625,4542.905,4544.055,0.0168599995668046
20260521,00:50:00,4544.215,4544.425,4543.645,4543.765,0.0108299997227732
20260521,00:51:00,4543.795,4544.025,4543.455,4543.565,0.0102299997379305
20260521,00:52:00,4543.535,4547.125,4543.325,4546.905,0.0254399993573315
20260521,00:53:00,4546.845,4548.455,4546.525,4547.485,0.027989999318379
20260521,00:54:00,4547.415,4547.885,4546.875,4547.425,0.0228299994632835
20260521,00:55:00,4547.415,4548.035,4546.248,4546.995,0.0238799994112924
20260521,00:56:00,4547.065,4547.225,4545.915,4546.165,0.0246299993887078
20260521,00:57:00,4546.195,4546.405,4545.225,4545.845,0.0197999994998099
20260521,00:58:00,4545.765,4546.115,4544.665,4545.975,0.0249599993985612
20260521,00:59:00,4546.005,4546.015,4544.725,4544.955,0.0352499991277
20260521,01:00:00,4544.935,4547.545,4539.705,4539.728,0.0685799982747994
20260521,01:01:00,4539.728,4543.475,4539.728,4542.335,0.0553799986664671
20260521,01:02:00,4542.265,4549.185,4541.675,4547.155,0.0545999986497918
20260521,01:03:00,4546.895,4547.725,4543.948,4544.005,0.0501899987721117
20260521,01:04:00,4544.025,4546.265,4542.848,4543.405,0.0420899989403551
20260521,01:05:00,4543.425,4544.075,4542.075,4542.865,0.0396899990155362
20260521,01:06:00,4542.845,4543.305,4540.815,4542.925,0.0341699991986388
20260521,01:07:00,4542.885,4545.315,4540.728,4544.595,0.0380099990579765
20260521,01:08:00,4544.525,4547.675,4544.245,4547.605,0.036989999061916
20260521,01:09:00,4547.645,4550.685,4547.605,4549.415,0.0549299986159895
20260521,01:10:00,4549.445,4555.175,4549.185,4554.485,0.0666599983815104
20260521,01:11:00,4554.435,4559.915,4553.355,4559.325,0.0629099985089852
20260521,01:12:00,4559.275,4559.445,4554.245,4554.515,0.0459599989117123
20260521,01:13:00,4554.595,4558.875,4554.545,4558.555,0.0432899989536963
20260521,01:14:00,4558.465,4559.775,4556.868,4559.685,0.0430799989553634
20260521,01:15:00,4559.655,4561.325,4558.805,4560.105,0.079979998015915
20260521,01:16:00,4560.078,4560.735,4558.915,4560.398,0.062909998538089
20260521,01:17:00,4560.398,4560.975,4559.855,4559.935,0.0638399985909928
20260521,01:18:00,4559.998,4560.698,4557.968,4558.305,0.0417599989887094
20260521,01:19:00,4558.275,4560.858,4558.035,4559.235,0.0377399990538834
20260521,01:20:00,4559.265,4559.555,4556.915,4558.455,0.0418199989508139
20260521,01:21:00,4558.355,4559.465,4558.035,4559.115,0.0364199991308851
20260521,01:22:00,4559.375,4561.035,4558.635,4560.728,0.0394499990652548
20260521,01:23:00,4560.728,4567.485,4560.318,4563.915,0.0569399986270582
20260521,01:24:00,4563.945,4565.155,4563.715,4564.785,0.0284999993018573
20260521,01:25:00,4564.815,4565.145,4560.145,4564.395,0.0488399987953017
20260521,01:26:00,4564.365,4564.365,4562.425,4563.165,0.0397799990023486
20260521,01:27:00,4563.135,4566.205,4562.875,4565.605,0.0349499991280027
20260521,01:28:00,4565.455,4566.815,4564.545,4566.105,0.0313499992334982
20260521,01:29:00,4566.085,4567.435,4565.905,4566.765,0.0305699992313748
20260521,01:30:00,4566.815,4569.025,4563.615,4567.945,0.0675599985261215
20260521,01:31:00,4567.935,4568.195,4565.605,4566.105,0.0617699985741638
20260521,01:32:00,4566.105,4566.405,4563.405,4563.835,0.0416999990848126
20260521,01:33:00,4563.835,4564.005,4561.625,4563.395,0.0533999987819698
20260521,01:34:00,4563.435,4564.375,4562.365,4562.635,0.053039998820168
20260521,01:35:00,4562.645,4563.475,4561.495,4562.445,0.0649799985258142
20260521,01:36:00,4562.465,4565.105,4561.345,4564.625,0.053249998803949
20260521,01:37:00,4564.595,4564.655,4563.575,4563.865,0.0386399991693906
20260521,01:38:00,4563.905,4566.685,4562.725,4566.545,0.0377699990931433
20260521,01:39:00,4566.495,4566.495,4565.025,4565.445,0.0277499993535457
20260521,01:40:00,4565.415,4568.435,4565.385,4568.375,0.0330299992201617
20260521,01:41:00,4568.325,4570.725,4568.285,4569.165,0.0352199991611997
20260521,01:42:00,4569.125,4570.055,4568.645,4568.775,0.0328499992465368
20260521,01:43:00,4568.745,4569.615,4566.985,4567.575,0.0325199992512353
20260521,01:44:00,4567.605,4568.285,4567.115,4567.445,0.0308399993373314
20260521,01:45:00,4567.525,4567.995,4565.945,4566.265,0.0293999993009493
20260521,01:46:00,4565.915,4566.835,4565.235,4565.715,0.0309299992804881
20260521,01:47:00,4565.705,4566.665,4565.295,4566.465,0.0284099993732525
20260521,01:48:00,4566.515,4567.445,4566.025,4566.495,0.0291299993987195
20260521,01:49:00,4566.505,4567.255,4565.035,4565.065,0.0286799992900342
20260521,01:50:00,4565.015,4565.515,4562.955,4563.345,0.0397799990460044
20260521,01:51:00,4563.345,4564.865,4563.215,4564.535,0.0364199992327485
20260521,01:52:00,4564.495,4564.795,4563.495,4563.985,0.0328499992610887
20260521,01:53:00,4564.055,4564.805,4561.268,4561.395,0.0482099989167182
20260521,01:54:00,4561.395,4561.395,4558.675,4559.595,0.0648899986117613
20260521,01:55:00,4559.565,4561.035,4559.385,4560.975,0.0550799988413928
20260521,01:56:00,4560.955,4561.185,4559.185,4560.485,0.0436799990129657
20260521,01:57:00,4560.495,4561.605,4559.425,4559.445,0.0399599990632851
20260521,01:58:00,4559.425,4561.615,4559.305,4561.615,0.0278399993403582
20260521,01:59:00,4561.585,4561.755,4560.545,4560.695,0.0334799991978798
20260521,02:00:00,4560.725,4564.565,4560.725,4564.045,0.0460199989174725
20260521,02:01:00,4564.045,4564.045,4561.305,4561.578,0.0391199990262976
20260521,02:02:00,4561.578,4561.578,4559.058,4559.128,0.041609998952481
20260521,02:03:00,4559.073,4559.073,4556.475,4557.488,0.0464099988312228
20260521,02:04:00,4557.525,4557.815,4556.538,4556.745,0.0334799991542241
20260521,02:05:00,4556.685,4559.248,4556.345,4558.685,0.0477599987934809
20260521,02:06:00,4558.665,4558.995,4557.085,4557.185,0.0477599987934809
20260521,02:07:00,4557.155,4558.765,4555.938,4555.938,0.0435599988995818
20260521,02:08:00,4555.995,4556.545,4555.565,4555.765,0.0416199989413144
20260521,02:09:00,4555.795,4557.075,4554.938,4555.445,0.0423599989298964
20260521,02:10:00,4555.445,4555.498,4554.215,4554.825,0.0401999989844626
20260521,02:11:00,4554.845,4555.425,4553.918,4554.885,0.042219998955261
20260521,02:12:00,4554.885,4555.145,4550.995,4551.065,0.044039998887456
20260521,02:13:00,4551.065,4553.265,4551.065,4553.265,0.0426599990314571
20260521,02:14:00,4553.285,4553.535,4550.415,4551.465,0.0430499989888631
20260521,02:15:00,4551.435,4552.975,4550.755,4552.345,0.0351899991364917
20260521,02:16:00,4552.385,4552.845,4550.455,4551.015,0.027539999311557
20260521,02:17:00,4551.035,4551.955,4550.115,4550.595,0.0266999993473291
20260521,02:18:00,4550.625,4551.035,4546.995,4548.635,0.0446999988926109
20260521,02:19:00,4548.585,4549.305,4547.585,4548.618,0.0296999992569908
20260521,02:20:00,4548.945,4549.365,4546.555,4546.555,0.0244799993961351
20260521,02:21:00,4546.595,4548.275,4545.765,4548.015,0.0364499991119374
20260521,02:22:00,4548.055,4548.655,4546.635,4546.665,0.0299999992421363
20260521,02:23:00,4546.775,4547.485,4546.465,4546.975,0.0249599993840093
20260521,02:24:00,4546.995,4547.695,4546.335,4547.685,0.0200099994981429
20260521,02:25:00,4547.655,4548.255,4544.038,4544.445,0.0266699993371731
20260521,02:26:00,4544.495,4545.545,4543.745,4545.265,0.0266699993371731
20260521,02:27:00,4545.235,4545.235,4543.498,4543.765,0.0265799993794644
20260521,02:28:00,4543.785,4544.235,4540.738,4541.015,0.0314699992595706
20260521,02:29:00,4540.995,4541.615,4539.475,4540.145,0.0406199989956804
20260521,02:30:00,4540.125,4542.215,4535.808,4537.915,0.0640199984918581
20260521,02:31:00,4537.975,4540.965,4537.865,4540.495,0.0417299989494495
20260521,02:32:00,4540.485,4541.085,4537.745,4538.125,0.0390599990496412
20260521,02:33:00,4538.095,4539.135,4534.365,4534.805,0.0469199988147011
20260521,02:34:00,4534.775,4536.905,4533.775,4536.845,0.0521999987104209
20260521,02:35:00,4536.845,4539.725,4536.845,4539.485,0.046019998844713
20260521,02:36:00,4539.485,4540.315,4538.905,4540.015,0.0324599991872674
20260521,02:37:00,4540.145,4541.365,4539.875,4539.975,0.0289799992897315
20260521,02:38:00,4539.995,4541.175,4539.925,4540.555,0.0305699992313748
20260521,02:39:00,4540.515,4540.945,4538.525,4539.575,0.030419999253354
20260521,02:40:00,4539.575,4539.945,4537.735,4538.975,0.0371999990893528
20260521,02:41:00,4538.905,4539.035,4535.095,4536.295,0.046919998829253
20260521,02:42:00,4536.295,4537.545,4534.095,4537.255,0.0502799987298204
20260521,02:43:00,4537.085,4537.085,4535.385,4536.435,0.0351599991117837
20260521,02:44:00,4536.435,4537.595,4536.005,4536.095,0.0352799991087522
20260521,02:45:00,4536.095,4537.115,4533.245,4533.945,0.0438899988948833
20260521,02:46:00,4533.945,4535.555,4531.345,4532.155,0.0597299984947313
20260521,02:47:00,4532.195,4535.235,4531.875,4535.235,0.0398099989979528
20260521,02:48:00,4535.235,4535.515,4533.855,4534.235,0.0330899991677143
20260521,02:49:00,4534.255,4534.905,4532.745,4534.255,0.0413399989629397
20260521,02:50:00,4534.235,4535.705,4533.155,4535.225,0.0341999991360353
20260521,02:51:00,4535.185,4536.175,4534.455,4536.175,0.0325199991784757
20260521,02:52:00,4536.335,4536.505,4533.525,4534.855,0.0295799992745742
20260521,02:53:00,4534.855,4535.805,4534.395,4534.575,0.0380399990535807
20260521,02:54:00,4534.625,4534.625,4533.335,4533.645,0.0271199993876508
20260521,02:55:00,4533.865,4534.725,4532.685,4533.625,0.0331499993044417
20260521,02:56:00,4533.625,4534.415,4532.375,4534.295,0.0378899991337676
20260521,02:57:00,4534.395,4534.975,4533.665,4534.925,0.0402599990775343
20260521,02:58:00,4534.975,4535.565,4534.345,4534.525,0.0417599991051247
20260521,02:59:00,4534.505,4534.915,4532.265,4532.885,0.0313199993252056
20260521,03:00:00,4532.865,4532.865,4531.225,4531.845,0.0388799991051201
20260521,03:01:00,4531.818,4532.705,4531.415,4532.395,0.035579999195761
20260521,03:02:00,4532.265,4533.995,4531.785,4533.955,0.0376199991296744
20260521,03:03:00,4533.965,4534.815,4533.945,4534.425,0.0290399993536994
20260521,03:04:00,4534.085,4535.055,4533.295,4534.605,0.0227399994328152
20260521,03:05:00,4534.655,4536.615,4534.175,4536.215,0.032669999243808
20260521,03:06:00,4536.195,4536.775,4535.755,4536.505,0.0235499994887505
