strategy,family,window,opened_at_utc,closed_at_utc,direction,entry,exit,size_oz,stop_distance_usd,gross_pnl_usd,entry_fee_usd,exit_fee_usd,net_pnl_usd,exit_reason,bars_held,ambiguous_ohlc_exit,balance_after
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2020-10-12T19:45:00+00:00,2020-10-12T22:10:00+00:00,SHORT,1922.92,1924.18,0.1361,4.0,-0.171486,0.104684,0.104752,-0.380922,DAY_EXIT,15,False,54.077032
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2020-10-13T07:05:00+00:00,2020-10-13T07:30:00+00:00,SHORT,1914.77,1919.12,0.1352,4.0,-0.58812,0.103551,0.103786,-0.795457,SL_HIT,5,False,53.281575
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2020-10-15T10:10:00+00:00,2020-10-15T13:45:00+00:00,SHORT,1894.66,1900.3,0.1332,4.0,-0.751248,0.100947,0.101248,-0.953443,SL_HIT,43,False,52.328132
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2020-10-23T19:00:00+00:00,2020-10-25T22:10:00+00:00,SHORT,1901.9,1900.33,0.1308,4.0,0.205356,0.099507,0.099425,0.006423,DAY_EXIT,24,False,52.334555
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2020-10-26T08:20:00+00:00,2020-10-26T09:55:00+00:00,SHORT,1898.22,1902.84,0.1308,4.0,-0.604296,0.099315,0.099557,-0.803167,SL_HIT,19,False,51.531387
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2020-10-27T12:35:00+00:00,2020-10-27T13:00:00+00:00,SHORT,1901.57,1906.07,0.1288,4.0,-0.5796,0.097969,0.098201,-0.77577,SL_HIT,5,False,50.755618
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2020-10-27T19:45:00+00:00,2020-10-27T22:10:00+00:00,LONG,1908.42,1906.71,0.1269,4.0,-0.216999,0.096871,0.096785,-0.410655,DAY_EXIT,15,False,50.344963
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2020-10-30T08:30:00+00:00,2020-10-30T09:25:00+00:00,SHORT,1870.71,1874.77,0.1259,4.0,-0.511154,0.094209,0.094413,-0.699776,SL_HIT,11,False,49.645186
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2020-10-30T15:05:00+00:00,2020-10-30T15:25:00+00:00,LONG,1884.46,1879.48,0.1241,4.0,-0.618018,0.093545,0.093297,-0.80486,SL_HIT,4,False,48.840326
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2020-11-02T12:55:00+00:00,2020-11-02T16:55:00+00:00,LONG,1888.86,1892.47,0.1221,4.0,0.440781,0.092252,0.092428,0.256101,TIME_EXIT,48,False,49.096427
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2020-11-03T08:10:00+00:00,2020-11-03T12:05:00+00:00,LONG,1893.15,1901.12,0.1227,4.0,0.977919,0.092916,0.093307,0.791696,TP_HIT,47,False,49.888124
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2020-11-03T15:05:00+00:00,2020-11-03T15:30:00+00:00,LONG,1907.0,1902.56,0.1247,4.0,-0.553668,0.095121,0.0949,-0.743689,SL_HIT,5,False,49.144435
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2020-11-06T15:55:00+00:00,2020-11-06T19:55:00+00:00,LONG,1950.33,1952.33,0.0959,5.124526,0.1918,0.074815,0.074891,0.042094,TIME_EXIT,48,False,49.186529
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2020-11-09T08:05:00+00:00,2020-11-09T11:30:00+00:00,LONG,1958.82,1954.49,0.123,4.0,-0.53259,0.096374,0.096161,-0.725125,SL_HIT,41,False,48.461404
