opened_at,closed_at,direction,entry_hour_utc,zscore,adx,atr,atr_ratio,turn_confirmed,reference_price,entry_price,exit_price,sl_distance,size_oz,bars_held,mfe_r,mfe_before_exit_r,mae_r,ambiguous_ohlc_exit,stop_overshoot_r,diagnosis_tag,exit_reason,gross_pnl_usd,entry_fee_usd,exit_fee_usd,net_pnl_usd,balance_after
2024-12-06T14:10:00+00:00,2024-12-09T01:25:00+00:00,LONG,14,-2.304,16.8155,4.1504,1.9961,True,2628.16,2628.39,2649.12,10.38,0.083,123,2.1098,1.9865,0.2611,False,0.0,TP_CONFIRMED_REVERSAL,TP_HIT,1.72059,0.087263,0.087951,1.545377,87.647705
2025-01-13T10:05:00+00:00,2025-01-13T12:00:00+00:00,LONG,10,-2.237,16.2808,2.4307,1.4068,True,2680.64,2680.87,2671.72,6.08,0.1442,23,0.2993,0.2993,1.5,False,0.5,WEAK_REVERSAL,SL_HIT,-1.31943,0.154633,0.154105,-1.628167,86.019538
2025-02-04T12:20:00+00:00,2025-02-04T12:50:00+00:00,SHORT,12,2.574,13.5791,1.6656,0.8213,True,2819.12,2818.89,2823.19,4.16,0.2068,6,0.012,0.012,1.0264,False,0.0264,NO_REVERSAL,SL_HIT,-0.88924,0.233179,0.233534,-1.355953,84.663585
2025-02-06T11:40:00+00:00,2025-02-06T14:40:00+00:00,SHORT,11,2.202,16.493,2.1371,0.9431,True,2865.51,2865.28,2854.63,5.34,0.1585,36,2.0468,1.9981,0.9775,False,0.0,TP_CONFIRMED_REVERSAL,TP_HIT,1.688025,0.181659,0.180984,1.325383,85.988968
2025-02-19T16:00:00+00:00,2025-02-19T18:20:00+00:00,LONG,16,-2.305,17.6083,3.4061,1.2857,True,2927.46,2927.69,2918.62,8.52,0.1009,28,0.3498,0.3498,1.061,False,0.061,WEAK_REVERSAL,SL_HIT,-0.915163,0.118162,0.117796,-1.15112,84.837848
2025-02-28T07:25:00+00:00,2025-02-28T08:15:00+00:00,LONG,7,-2.441,14.2175,1.9465,0.8345,True,2859.12,2859.35,2853.72,4.87,0.1742,10,0.3696,0.3696,1.1499,False,0.1499,WEAK_REVERSAL,SL_HIT,-0.980746,0.19924,0.198847,-1.378833,83.459015
2025-03-20T16:35:00+00:00,2025-03-21T04:00:00+00:00,LONG,16,-2.49,17.2311,2.437,0.9156,True,3035.03,3035.26,3029.01,6.09,0.137,125,1.9589,1.9589,1.0213,False,0.0213,GAVE_BACK_AFTER_1R,SL_HIT,-0.85625,0.166332,0.16599,-1.188572,82.270443
2025-05-08T12:25:00+00:00,2025-05-08T13:10:00+00:00,SHORT,12,2.404,17.4124,3.0396,0.8197,True,3353.63,3353.4,3363.47,7.6,0.1083,9,0.7882,0.7882,1.3211,False,0.3211,PARTIAL_REVERSAL,SL_HIT,-1.090581,0.145269,0.145706,-1.381556,80.888887
2025-06-13T10:20:00+00:00,2025-06-13T12:50:00+00:00,LONG,10,-2.236,15.0059,3.5339,0.9419,True,3417.94,3418.17,3435.8,8.83,0.0916,30,2.0487,1.8301,0.7622,False,0.0,TP_CONFIRMED_REVERSAL,TP_HIT,1.614908,0.125242,0.125888,1.363779,82.252666
2025-06-23T08:05:00+00:00,2025-06-23T09:10:00+00:00,SHORT,8,2.395,16.9087,2.5866,1.0912,True,3361.34,3361.11,3368.32,6.47,0.1271,13,0.3122,0.3122,1.1097,False,0.1097,WEAK_REVERSAL,SL_HIT,-0.916391,0.170879,0.171245,-1.258515,80.994151
